baseline,occlusion_frames,pose_noise,depth_noise,action_error,memory_position_error,confidence_brier,availability
current_rgb,2,0.0,0.01,0.34627398456683706,0.015211687329561368,0.004433322144704833,0.75
short_history,2,0.0,0.01,0.08485081460666447,0.08485081460666447,0.1116901827895987,1.0
persistent_no_gating,2,0.0,0.01,0.1399800628491536,0.1399800628491536,0.22540270088100706,1.0
confidence_aware,2,0.0,0.01,0.08162084304010923,0.08162084304010923,0.07707541978723824,1.0
current_rgb,2,0.0,0.05,0.39661896208651726,0.08100382790988542,0.0879036557607937,0.75
short_history,2,0.0,0.05,0.14309840571517404,0.14309840571517404,0.1576558852811893,1.0
persistent_no_gating,2,0.0,0.05,0.1651372661811391,0.1651372661811391,0.21300990024277205,1.0
confidence_aware,2,0.0,0.05,0.12480850697326229,0.12480850697326229,0.10493266511833735,1.0
current_rgb,2,0.03,0.01,0.3848863987248478,0.06316131214040749,0.056245762421750015,0.75
short_history,2,0.03,0.01,0.12596958761150184,0.12596958761150184,0.13153160916408943,1.0
persistent_no_gating,2,0.03,0.01,0.156639944742844,0.156639944742844,0.21068377213988126,1.0
confidence_aware,2,0.03,0.01,0.110972481924333,0.110972481924333,0.09230689890383197,1.0
current_rgb,2,0.03,0.05,0.433692830558314,0.12516343262369445,0.17901804184334935,0.75
short_history,2,0.03,0.05,0.1832127833496165,0.1832127833496165,0.24272772684750005,1.0
persistent_no_gating,2,0.03,0.05,0.18806494305398636,0.18806494305398636,0.24392177039938345,1.0
confidence_aware,2,0.03,0.05,0.19075376906635094,0.19075376906635094,0.2561902688646649,1.0
current_rgb,5,0.0,0.01,0.6423795382212449,0.016007464392833345,0.0032242342870580608,0.5454545454545454
short_history,5,0.0,0.01,0.447007026686217,0.01612972504929359,0.004298979049410748,0.7272727272727273
persistent_no_gating,5,0.0,0.01,0.2060025446776839,0.2060025446776839,0.31940184374303804,1.0
confidence_aware,5,0.0,0.01,0.16409814456567115,0.16409814456567115,0.10579656536887065,1.0
current_rgb,5,0.0,0.05,0.6795997005758203,0.07965529456965097,0.06392993146239544,0.5454545454545454
short_history,5,0.0,0.05,0.49520854758644745,0.08014408316535981,0.08369154456165778,0.7272727272727273
persistent_no_gating,5,0.0,0.05,0.23471246981713714,0.23471246981713714,0.2511383650939322,1.0
confidence_aware,5,0.0,0.05,0.20336203399880368,0.20336203399880368,0.12353507224834354,1.0
current_rgb,5,0.03,0.01,0.6646118603299106,0.06457715833422964,0.04090600903400001,0.5454545454545454
short_history,5,0.03,0.01,0.48011709539874253,0.06503451144278656,0.054541345378666686,0.7272727272727273
persistent_no_gating,5,0.03,0.01,0.22432815215159987,0.22432815215159987,0.2589974300601698,1.0
confidence_aware,5,0.03,0.01,0.19000551752205705,0.19000551752205705,0.11441235922852117,1.0
current_rgb,5,0.03,0.05,0.7059946650271843,0.12739498722882894,0.1309392783599736,0.5454545454545454
short_history,5,0.03,0.05,0.5307352308114258,0.12896910679047527,0.17479246526816972,0.7272727272727273
persistent_no_gating,5,0.03,0.05,0.2501023586596741,0.2501023586596741,0.24900808578922434,1.0
confidence_aware,5,0.03,0.05,0.22961875244455396,0.22961875244455396,0.16150193204844027,1.0
current_rgb,8,0.0,0.01,0.7755492375235749,0.015310490416865706,0.0025333269398313332,0.42857142857142855
short_history,8,0.0,0.01,0.6215342248976944,0.015305248715481307,0.003377769253108444,0.5714285714285714
persistent_no_gating,8,0.0,0.01,0.20320795873513964,0.20320795873513964,0.311159317514727,1.0
confidence_aware,8,0.0,0.01,0.1701679133680387,0.1701679133680387,0.08065704125618584,1.0
current_rgb,8,0.0,0.05,0.8102175746871737,0.07553750728424034,0.04962237455604055,0.42857142857142855
short_history,8,0.0,0.05,0.6626325069453713,0.07567076992607555,0.06758249979168439,0.5714285714285714
persistent_no_gating,8,0.0,0.05,0.22595680261093612,0.22595680261093612,0.2419034794809609,1.0
confidence_aware,8,0.0,0.05,0.20171974448353264,0.20171974448353264,0.10018439069853712,1.0
current_rgb,8,0.03,0.01,0.7956131171203087,0.06447007429588071,0.03375578593438352,0.42857142857142855
short_history,8,0.03,0.01,0.6486673546309993,0.06422762685048214,0.04446926449090732,0.5714285714285714
persistent_no_gating,8,0.03,0.01,0.22370838477135557,0.22370838477135557,0.25429822928980733,1.0
confidence_aware,8,0.03,0.01,0.19714965998838543,0.19714965998838543,0.09264779141938066,1.0
current_rgb,8,0.03,0.05,0.8399661468676481,0.13085662229852202,0.10375811805564865,0.42857142857142855
short_history,8,0.03,0.05,0.6995873351095987,0.13222437503260587,0.1391889229136259,0.5714285714285714
persistent_no_gating,8,0.03,0.05,0.24656791957445365,0.24656791957445365,0.24743079634777537,1.0
confidence_aware,8,0.03,0.05,0.23325751471115633,0.23325751471115633,0.15165761777910788,1.0
