baseline,occlusion_frames,pose_noise,depth_noise,action_error,memory_position_error,confidence_brier,availability
current_rgb,2,0.0,0.01,0.38093773802231246,0.061430025270195254,0.05732286544303431,0.75
short_history,2,0.0,0.01,0.1191380182204617,0.1191380182204617,0.16457972608792817,1.0
persistent_no_gating,2,0.0,0.01,0.14092729732540463,0.14092729732540463,0.27829224417933657,1.0
confidence_aware,2,0.0,0.01,0.11604499630330527,0.11604499630330527,0.13856924766441306,1.0
multi_view_consistency,2,0.0,0.01,0.11606078883206968,0.11606078883206968,0.10053676697323752,1.0
current_rgb,2,0.0,0.05,0.4268129494638567,0.12126247774633794,0.10919366151524863,0.75
short_history,2,0.0,0.05,0.17261106734251003,0.17261106734251003,0.1789458910356442,1.0
persistent_no_gating,2,0.0,0.05,0.16305469555005625,0.16305469555005625,0.2332354057095042,1.0
confidence_aware,2,0.0,0.05,0.13714297919639656,0.13714297919639656,0.1948228918823987,1.0
multi_view_consistency,2,0.0,0.05,0.15488301788521755,0.15488301788521755,0.12658698707728763,1.0
current_rgb,2,0.03,0.01,0.4169817600045868,0.10595512718005952,0.08451439205596138,0.75
short_history,2,0.03,0.01,0.15753634249074253,0.15753634249074253,0.1598002387983008,1.0
persistent_no_gating,2,0.03,0.01,0.15560714716896684,0.15560714716896684,0.23753897029238208,1.0
confidence_aware,2,0.03,0.01,0.12506505581608834,0.12506505581608834,0.19104279555551187,1.0
multi_view_consistency,2,0.03,0.01,0.14201934145377101,0.14201934145377101,0.11453144909997456,1.0
current_rgb,2,0.03,0.05,0.4627824329016148,0.16394956908142874,0.18191786189792328,0.75
short_history,2,0.03,0.05,0.21275462126426897,0.21275462126426897,0.24562754690207403,1.0
persistent_no_gating,2,0.03,0.05,0.18365690774447652,0.18365690774447652,0.24699216810422647,1.0
confidence_aware,2,0.03,0.05,0.1890994486089844,0.1890994486089844,0.2767926008587983,1.0
multi_view_consistency,2,0.03,0.05,0.19605974870030987,0.19605974870030987,0.1718179633379383,1.0
current_rgb,5,0.0,0.01,0.6675005444490449,0.06206264247713311,0.041689356685843115,0.5454545454545454
short_history,5,0.0,0.01,0.5223700453696166,0.11975387573896805,0.11969434624576594,0.7272727272727273
persistent_no_gating,5,0.0,0.01,0.19327832331199166,0.19327832331199166,0.39440883242066904,1.0
confidence_aware,5,0.0,0.01,0.1647006871096834,0.1647006871096834,0.1725002035779804,1.0
multi_view_consistency,5,0.0,0.01,0.18881760046648566,0.18881760046648566,0.10900595992056804,1.0
current_rgb,5,0.0,0.05,0.7007432774949236,0.11841851892134017,0.07941357201108991,0.5454545454545454
short_history,5,0.0,0.05,0.558639278343757,0.16736133795666047,0.13014246620774123,0.7272727272727273
persistent_no_gating,5,0.0,0.05,0.214147973617929,0.214147973617929,0.28133146416388644,1.0
confidence_aware,5,0.0,0.05,0.19400995683787323,0.19400995683787323,0.21069216109160926,1.0
multi_view_consistency,5,0.0,0.05,0.2279955305253471,0.2279955305253471,0.12516447442158227,1.0
current_rgb,5,0.03,0.01,0.6874865638860981,0.1065141148539066,0.06146501240433555,0.5454545454545454
short_history,5,0.03,0.01,0.5487412060673048,0.15939266361205975,0.1162183554896733,0.7272727272727273
persistent_no_gating,5,0.03,0.01,0.20854478836064674,0.20854478836064674,0.29805953646380734,1.0
confidence_aware,5,0.03,0.01,0.18631417427228977,0.18631417427228977,0.20660532650700156,1.0
multi_view_consistency,5,0.03,0.01,0.21271452077432343,0.21271452077432343,0.11801748066328675,1.0
current_rgb,5,0.03,0.05,0.7258922863530403,0.16387395965956425,0.13267606898089487,0.5454545454545454
short_history,5,0.03,0.05,0.5904280947889927,0.21104679475962973,0.18000283713093349,0.7272727272727273
persistent_no_gating,5,0.03,0.05,0.23109773669681047,0.23109773669681047,0.25421845765198814,1.0
confidence_aware,5,0.03,0.05,0.22284192296862496,0.22284192296862496,0.22216420421320401,1.0
multi_view_consistency,5,0.03,0.05,0.2662926884169048,0.2662926884169048,0.16229853114057458,1.0
current_rgb,8,0.0,0.01,0.7954836268864269,0.06182406559685375,0.032755923110305306,0.42857142857142855
short_history,8,0.0,0.01,0.6813373929862505,0.1199607928704544,0.09404555776453037,0.5714285714285714
persistent_no_gating,8,0.0,0.01,0.2032902721380048,0.2032902721380048,0.43507196181367025,1.0
confidence_aware,8,0.0,0.01,0.19193032387281747,0.19193032387281747,0.18883092545330113,1.0
multi_view_consistency,8,0.0,0.01,0.1906364545589718,0.1906364545589718,0.08618679055795168,1.0
current_rgb,8,0.0,0.05,0.8286590419657207,0.11856759760085032,0.061179806251316075,0.42857142857142855
short_history,8,0.0,0.05,0.7179569087810128,0.17248847313844803,0.10225479487751098,0.5714285714285714
persistent_no_gating,8,0.0,0.05,0.22075448701750536,0.22075448701750536,0.2905663497768578,1.0
confidence_aware,8,0.0,0.05,0.2045558857959402,0.2045558857959402,0.18298774373483773,1.0
multi_view_consistency,8,0.0,0.05,0.22245945833858702,0.22245945833858702,0.1091266047184798,1.0
current_rgb,8,0.03,0.01,0.8137451137925328,0.10677806653107022,0.04990928858250429,0.42857142857142855
short_history,8,0.03,0.01,0.7030633446476715,0.15942060937965855,0.09292977243526968,0.5714285714285714
persistent_no_gating,8,0.03,0.01,0.2169648179856097,0.2169648179856097,0.3181045647498844,1.0
confidence_aware,8,0.03,0.01,0.19892143756811898,0.19892143756811898,0.1790276976982782,1.0
multi_view_consistency,8,0.03,0.01,0.21688641779582218,0.21688641779582218,0.10079192918048631,1.0
current_rgb,8,0.03,0.05,0.8577713540830685,0.17240210580116952,0.10483032042876841,0.42857142857142855
short_history,8,0.03,0.05,0.7530029567558598,0.2257017129135627,0.14240553003298517,0.5714285714285714
persistent_no_gating,8,0.03,0.05,0.2412274580770899,0.2412274580770899,0.2552286317886464,1.0
confidence_aware,8,0.03,0.05,0.24137822142394402,0.24137822142394402,0.20701267916002805,1.0
multi_view_consistency,8,0.03,0.05,0.2616342742105581,0.2616342742105581,0.15260437907921076,1.0
